text
bagaimana caranya isi saldonya??????
mantap
"makin makin di tokped... barang cek out seminggu yg lalu gk dikirim kirim penjual, dibiarin aja ama tokped. udah gtu gk bisa cancel lg... buang buang waktu ni belanja ditokped... mau belanja ke yg lain takutnya tiba tiba ini fikirim... serba salah... asli nyesel.. mending shopee kemana mna sih kebijakannya"
pesanan saya di cancel mulu ama kurir nya
tidak pernah dapat promo ataupun bebas ongkir
sy akan menggunakan aplikasi ini
"Toko nya amanah semoga tetap jaya, aamiin🤲🤲🤲"
bagus
apaan promo tidak berlaku silahkan belanja tanpa promo. kalau kagak ada promo jangan tunjukin harga murah dari awal bgst habis2in waktu aja mending beli pakai aplikasi lain
Bagus
promonya hilang pas jadi mau beli eek
Aplikasi nya berat banget di hp RAM 3GB
jangan kasih diskon PA kalau tidak bisa beli pakai diskon bikin aplikasi tapi tidak mau dipakai aneh
"ga bisa check out, pindah beli di toko lain malah diskon dan bebas ongkirnya hilang. aplikasi apa ini"
dipakai check out diskonnya langsung hilang. aplikasi penipu harga
"uang saya tidak kembali, barang yang saya beli di kembalikan ke penjual secara sepihak, dan dana saya tidak kembali -+ 500rb. alasannya biaya ongkir tidak dikembalikan, padahal bukan saya yang batalin pesanan, kenapa saya yang tanggung ongkir nya"
"Ada masalah dengan penjual. Yang diterima via ekspedisi resmi Tokopedia hanya nota, barang yang dibeli tidak diterima, tapi status pembelian telah selesai. Tidak ada solusi dan peran mediasi dari Tokopedia, hanya disuruh berkomunikasi dengan penjual yang sepertinya tidak ada itikad baik. Ngasih ulasan negatif ke penjual tidak bisa, selalu ada notifikasi kesalahan jaringan. Lengkap sudah ketidakprofesionalan Tokopedia. Cukup terakhir ini bertransaksi di tokopedia."
bobrok reset pin aja gak masuk² di wa.
"gimana ini, tak ada kontak masuk baik SMS atau telpon ke pelanggan tiba"" dari kurir mengatakan pengiriman pertama gagal akan di kirim ulang. padahal gak ada berita apapun."
mantab...setiap transaksi lancar
oke
good
"WOI SERVER ITU DI UPGRADE LAH, MASA HAMPIR SETIAP BELI BARANG GAGAL TERUS TRANSAKSI NYA DAN HARUS DI COBA BERULANG KALI, PADAHAL INTERNETNYA UDAH RARUSAN MBPS LOH"
"tetap lancar dengan berbagi bonus, kiriman instant ok, joss"
Makin lama makin gak jelas nih aplikasi.
woi gw mau main game keganggu sama iklan lu terus
sangat membantu sekali
sangat membantu
Aplikasi jelek udah pilih lama2 malah beda harganya waktu mau check out
kecewa banget sama Tokopedia mana baru ngaktifin langganan plus malah di hentikan dana gak dikembalikan lagi jadi gak mau lagi belanja disini
lelet bet buka dm susah amir
toko pedia ini sangat bagus
minyk sunco kena 19k...murh bgt
"setelah update 17/12/25 aplikasi makin berat, pencarian akurasi menurun, banyak seller harga ngawur, sayang sekali"
"jaringanya lemah, padahal buka yt kualitas 2k panjang 30menit 2menit kelar eeeh buka ini pake acara gagal gagal eror eror gajelas"
mending shopee dari pada ini
"aplikasi nya orang bodoh isinya tipuan dan jebakan, tolong bagi pengguna shop online lebih jeli lagi, saya sarankan stop berbelanja di Tokopedia karna masih banyak shop online yang lebih baik 🙏"
"bagus,"
ok
jangan dwh belih hp di sini.
"cust service slow respon dan jawabannya itu"" saja"
"isi pulsa dibatalkan kok saldo gopay nya ga diganti, kecewa berattt ih tokoped"
"semenjak merger tiktok, pesanan instant yg biasa cri driver instant 5-10 menit, skrg bisa sampai 1 jam, dan tolong kasih fitur bisa lihat nomor wa driver, biar seller bisa hubungin driver"
"saya kecewa dengan Tokopedia. pada hari Selasa, 30 Desember 2025 saya melakukan transaksi pembayaran BPJS, tapi ternyata blm berhasil. padahal keadaan darurat, anak saya sedang dirawat di RSUD CENGKARENG. butuh respon secepatnya dari Tokopedia, untuk ditindak lanjuti segera. agar kami bisa melakukan pembayarannya. dan dana nya bisa di refund, ketika tidak berhasil dibayarkan. terima kasih."
mau beli aja terjadi kesalahan pada server terus
sulit banget buat komunikasi dengan Costumer service nya
mantap cepat respon nya
barang barang di Tokopedia bagus bagus dan berkualitas tinggi
"Kenapa tokopedia tidak bisa memilih kurir saat ceckout.. Ini membuat saya 90 persen suka di warna Orange karena bisa memilih kurir dan memilih biaya pengiriman dari yang nol rupiah sampai yg mahal.. Jadi memilih kurir itu SANGAT PENTING UNTUK PEMBELI.. Jika tokped masih mempertahankan sistem ""kurir di pilih aplikasi tokopedia"" siap siap jatuh rugi besar nantinya.. Masa ga mau niru si Orange yg OKE BANGET BISA MILIH KURIR DAN MILIH BIAYA PENGIRIMAN"
"gratis ongkirnya nanggung, kalah sama toko sebelah"
Bagus banget aplikasi ini (⁠≧⁠▽⁠≦⁠) 👍🏻✨✨
"Harga yg normal, klo bisa sering2 free ongkir"
sip mantap
"voucher ongkir gapernah ada dan gapernah tersedia, pdhl pngn beli sesuatu tapi udah setengah tahun gak ada voucher ongkir sama sekali, bahkan untuk pesanan 509rb keatas gak dapet potongan ongkir dan gak ada voucher. tokped makin kesini makin pelit, apalagi untuk akun yang udah lama sangat2 pelit, gimana orang gak beralih ke aplikasi sebelah klo gini trus"
"SARAN SAYA BUAT TOKOPEDIA, SETIAP ORANG MEMBUKA APLIKASI TOKOPEDIA LANGSUNG DIARAHKAN KE FEED VIDEO, SEPERTI APLIKASI SHOPEE, MOHON DIPERBAIKI, KARENA ORANG LEBIH SUKA VIDEO PRODUK DAN AFFILITOR SEMANGAT BERKONTEN.. TKS"
"PeLayanan Untuk Konsumen Harus SLaLu Pasti & Tepat Waktu Sesuai Estimasi Tiba,, Untuk SeLer yg NakaL / Kirim Barang Hoak Baiknya di Banned Saja,,, Mkasih..🙏.🛵.🤠.👍"
keren bust harian berbelanja
hallo tokopedia kenapa ya pada saat transaksi waktu pembayan selalu eror seperti pada saat ingin memilih pembayan memalui apa itu terjadi eror
very good
"notifikasi pesannya masuknya pas Dateng barang , dan barang harganya terlalu mahal"
platform lebih melindungi penjual penipu daripada pembeli. urusan meminta dana dikembalikan sangat ribet dan lama dan tidak ada kepastian.
"aplikasi belanja paling parah . apalagi jasa kirim nya . saya sampai hilang 14 juta gara"" jasa kirim Tokopedia . parah banyak penipu na"
jarang memakai
jossss jisssss
Sering banget spam notifnya
"6 Desember 2025 transaksi beli Parfum GPI, paket diterima pecah. Proses Resolusi 27 hari belum ada progres. SANGAT MENGECEWAKAN."
"jarang gratis ongkir, ongkir mahallll"
bagus sii
masak saya download aplikasi ga ada garis 3 buat scan qr
"itu karyawan yang jadi cs tokopedia lulusan sd semua, gw punya masalah saran pilih ""minta bantuan admin"" gk ada menu itu woyyyy!!!! gw cari cari sampe kepala botak gk ada menu itu woy!!!"
Berat banget nih app padahal hape udah kuat. Lama2 kayak si oren jadi app buat benchmark hp. Parah.
Gak bisa bayar E-samsat Jawa Barat sejak pagi. Sangat mengecewakan 👎🏻
tokopedia mantap
kacao parah ni toped. makin ga jelas saja. daftar disuruh masukin kode pin sudah di masukin tapi ga bisa.. parah ni. uninstal saja ga ada manfaar nya sama sekali
the best aplikasi
kurir lemot bgt
tolong untuk toko yang diikuti otomatis urut sesuai abjad sama langganan untuk plus jangan terlalu mahal
"penjual harus berikan stok nyata di halaman produknya, kami pembeli hanya lihat stok masih ada, cukup lumayan. jadi kami pesan dan TF, ternyata stok habisss.. untunglah saldo kembali tapi ini menghabiskan waktu."
